artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Miles Davis,It Never Entered My Mind,4ZX7fXhm6iwP7nABz1tcFB,37,242973,0.386,0.0381,8,-22.805,1,0.0404,0.97,0.244,0.142,0.317,117.515,4,Classical
Red House Painters,Katy Song,1zegQf2IjsYYJGBgJMsbNk,48,502867,0.514,0.305,1,-14.555,1,0.0254,0.306,0.036,0.0767,0.357,154.552,4,Folk
Adrianne Lenker,Ruined,2NUIlCRqz6OxgGOipYqBCw,53,272801,0.402,0.129,5,-12.454,1,0.0417,0.978,3.27e-05,0.0929,0.16,108.915,4,Folk
Miles Davis Quintet,It Never Entered My Mind,6QlkHjQmo2YncQN5MQXgPZ,57,323187,0.476,0.217,8,-10.75,1,0.0308,0.892,6.09e-05,0.0966,0.121,116.079,4,Folk
Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,75,230999,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,4,Pop
Songs: Ohia,Just Be Simple,2Bv0qamiKGfDBtXCutmXJf,41,260987,0.5,0.39,11,-9.549,0,0.0275,0.652,0.00822,0.12,0.2,137.493,4,World
Pink Floyd,If,63brgJhrcNFW8ncUhM1mhG,45,270773,0.508,0.103,6,-21.981,0,0.0293,0.918,0.618,0.108,0.196,102.977,4,Rock
Songs: Ohia,Just Be Simple,2Bv0qamiKGfDBtXCutmXJf,41,260987,0.5,0.39,11,-9.549,0,0.0275,0.652,0.00822,0.12,0.2,137.493,4,World
Chappell Roan,My Kink Is Karma,32fSZSbxeVoiZShMQKLc6Z,73,222578,0.557,0.616,2,-5.615,1,0.0599,0.0116,0.0,0.103,0.431,86.722,4,Dance
glaive,17250,4RRHEpkrrYa0TkTEyTPUv7,47,151863,0.673,0.701,6,-5.151,1,0.0377,0.201,0.0,0.0873,0.525,98.933,4,Country
Amie Blu,everything about her,4cQ2xighvUJyg7DHpzySPu,52,171034,0.937,0.697,9,-7.5,1,0.0359,0.461,0.0642,0.106,0.943,113.021,4,R&B
Giuliano Sorgini,Analisi scientifiche,6vN0AqD9Zk4uolNlCRufxQ,45,294333,0.161,0.406,11,-11.435,1,0.0333,0.968,0.908,0.117,0.0716,105.662,3,Soundtrack
Indigo De Souza,Good Heart,6fPwWgvq8C0QwfVdxcRBn0,48,160125,0.582,0.325,11,-10.132,1,0.037,0.207,0.0,0.161,0.37,110.318,4,Folk
Pharoah Sanders,Love Will Find a Way,1jKQvm9mE1O1LlMZibkx0U,43,311240,0.41,0.361,9,-13.829,1,0.0335,0.271,0.421,0.0467,0.214,118.631,4,Folk
Suzanne Ciani,The Third Wave - Love In The Waves,5ikCRvgA7JC7Fa9ygBQpmG,27,317733,0.103,0.149,1,-22.092,1,0.0407,0.908,0.946,0.941,0.0798,167.105,3,Soundtrack
Laura Marling,Alexandra,1HlSDISbjoxt2tpimT8s6f,35,199520,0.451,0.529,5,-8.491,1,0.0323,0.0977,0.0,0.106,0.215,168.861,4,World
Ocean Ank,Strawberry Swing,20g4yLixrOn0nyQeBRcVOd,40,235469,0.293,0.6,8,-7.417,1,0.0529,0.04,0.000187,0.231,0.374,115.583,5,World
The 1975,"I Always Wanna Die (Sometimes) (Live from Madison Square Garden, New York, 07.11.22)",5JGgqOLuHpVmdJHJdnufCv,42,324917,0.325,0.793,4,-7.364,1,0.0565,0.00672,5.4e-05,0.961,0.141,149.259,4,World
Al Green,Dream,6ey8HhYmR57lhESTf15RcF,52,448800,0.366,0.284,7,-16.223,1,0.03,0.339,0.167,0.0771,0.148,172.266,3,Folk
The 1975,"Paris (Live from Madison Square Garden, New York, 07.11.22)",5r3q6crbHz8LbQ2XKqLqJz,41,301291,0.596,0.883,8,-8.55,1,0.0394,0.0324,0.000707,0.935,0.498,117.043,4,World
David Matthews,Special Delivery,6A6Gg5x8grXLVKx4aKHa2L,11,261547,0.821,0.758,0,-10.406,1,0.0449,0.218,0.18,0.234,0.842,112.329,4,Electronic
Bobby Lyle Trio,Night Breeze,6paAzjlDOGavvQR5Lvp1Yn,10,406027,0.537,0.483,7,-12.828,1,0.0487,0.265,0.357,0.132,0.522,92.871,4,Electronic
The 1975,I Think There's Something You Should Know,3mRWkQTwau3cl5u2WYE2pt,49,240986,0.624,0.787,5,-9.481,1,0.0601,0.0164,0.317,0.194,0.136,123.475,4,Electronic
Brand New,Luca,7pnGmk992ojKtSB26CbXHf,40,308667,0.488,0.671,9,-6.341,0,0.0333,0.0765,0.107,0.163,0.184,134.617,3,Electronic
Yasuaki Shimizu,Summer Time,0gbvUoDezuX5rRa7XvODvZ,11,227627,0.379,0.572,2,-11.786,0,0.0471,0.14,2.38e-05,0.157,0.526,121.248,4,Soundtrack
Mikio Masuda,Let's Get Together,6NUTRMbLqF6EK7YFYMiGgn,14,364160,0.618,0.7,5,-12.63,1,0.033,0.274,0.897,0.116,0.907,122.794,4,Electronic
Shunzo Ohno,In The Sky,4ONLnJApyeL8hHtT2L61nP,14,255173,0.58,0.646,2,-12.021,1,0.0413,0.101,0.964,0.257,0.805,121.872,4,Electronic
Adrianne Lenker,Already Lost,2BSnnyfltzvOkM1hJrsZfj,57,207822,0.542,0.325,0,-9.94,1,0.027,0.831,0.0,0.317,0.381,91.145,4,Folk
The 1975,Then Because She Goes,1VP6X2WDJuBGvIZkTKFhF5,53,127343,0.424,0.619,2,-5.925,1,0.0434,6.76e-06,0.164,0.214,0.454,120.022,4,Alternative
millkzy,RUSSIAN ROULETTE(I ADORE U),5XmvbJqAnKGicwcmSEyQ3x,47,201379,0.476,0.46,2,-10.38,1,0.0618,0.202,0.0,0.121,0.0766,136.579,4,R&B
Gianni´s Humble,show me // something,6KLoBECakMg6TLHCxmhkfp,54,201429,0.681,0.702,8,-8.172,1,0.053,0.0282,0.384,0.188,0.357,144.002,4,Electronic
Pink Floyd,Mother,1GEOSS415bZVHNuXWlCT6b,61,334893,0.578,0.15,7,-17.335,1,0.0334,0.243,0.00707,0.0825,0.12,135.22,4,Rock
SE SO NEON,The Wave,2BYL7Z9y5DB03fnjMgHcGh,38,282454,0.519,0.839,9,-2.531,0,0.184,0.0177,0.315,0.0718,0.543,89.825,4,Electronic
Guru,"Le Bien, Le Mal",0nwnaHLObT2ZEkrNAfryEB,47,202160,0.842,0.821,1,-9.86,1,0.163,0.0413,0.00249,0.346,0.594,101.986,4,Reggaeton
Laufey,Goddess,4R3AU2pjv8ge2siX1fVbZs,77,267867,0.372,0.128,5,-12.997,1,0.0355,0.973,0.000315,0.0916,0.172,78.949,4,Folk
Laufey,Valentine,6cx5CvFhqN19efStehJqoW,79,168907,0.472,0.204,3,-13.065,1,0.0452,0.917,0.0,0.107,0.224,82.51,4,Indie
Arthur Verocai,Na boca do sol,5oiueCPkJCU9wCmQO5HDTj,55,179973,0.442,0.486,11,-13.41,0,0.0446,0.864,0.482,0.358,0.369,141.024,4,Folk
The Dave Brubeck Quartet,Strange Meadow Lark,6HvyFdP5JrCQdmxq2qi7MC,46,442227,0.53,0.143,8,-17.471,1,0.0423,0.958,0.497,0.278,0.119,125.464,4,Jazz
wave to earth,bad,5TZKpQFKCbIlWGD8DzHbC6,78,263250,0.562,0.551,2,-8.879,1,0.0318,0.705,0.113,0.164,0.386,135.808,4,Folk
grouptherapy.,smiles :),61i0TdXSrYiCn5KPWh1OxU,38,193252,0.47,0.759,1,-6.031,1,0.337,0.802,1.66e-05,0.429,0.398,148.928,4,World
Kassa Overall,La Casa Azul,3Ae9rMRXmjBJ2eseA9zHXD,17,331595,0.584,0.666,10,-8.865,0,0.184,0.263,0.000252,0.291,0.609,86.987,4,Reggae
Faye Wong,掙脫,1IDQXWGLzpLIAvMHJIMgU5,40,268200,0.676,0.666,4,-10.599,1,0.0393,0.00579,4.4e-05,0.736,0.295,129.01,4,Pop
Faye Wong,暗湧,6chOsiLTktHGFXRC5TirKK,9,261333,0.294,0.294,10,-14.562,0,0.0451,0.905,0.0354,0.0942,0.345,181.062,3,Opera
Guru,Loungin',1VzhfMEGIIkn5hFITMJzW1,56,279640,0.716,0.58,10,-12.747,0,0.239,0.0694,6.71e-06,0.906,0.707,99.077,4,Hip-Hop
Blood Orange,Hope,2QLNDKL7hZyh2OZ8UL9WrV,52,239768,0.413,0.227,5,-10.871,1,0.0756,0.411,0.0,0.0912,0.354,86.35,4,Alternative
Alice Phoebe Lou,Angel,3PLaKiMLIlrjvPoPlYK7sT,47,252687,0.597,0.271,4,-9.418,1,0.0306,0.669,0.000118,0.179,0.243,115.174,4,Folk
Paramore,Thick Skull,0M2SX26YicKMOAxqtWGPUh,58,232998,0.449,0.361,1,-10.963,0,0.036,0.281,0.00503,0.118,0.17,145.295,4,Folk
The Whispers,Chocolate Girl,4eO0XMP7wbGEfEd2ZNdQMY,25,224987,0.423,0.227,8,-15.134,1,0.0307,0.806,0.413,0.253,0.111,119.757,4,Soundtrack
Snail Mail,Slug,6I9degnsVDq2dl7GoiUGhu,35,275533,0.539,0.834,4,-5.337,1,0.0389,0.268,0.107,0.102,0.482,117.693,4,Blues
Jamiroquai,Butterfly,4vevrGPaGIdakuoWhzSnwl,44,268800,0.672,0.652,11,-9.051,1,0.0737,0.0477,0.121,0.119,0.735,94.83,4,Electronic
Masaki Matsubara,Busted,6Rh0U2nz67ClJudIRJ5p9d,31,267867,0.565,0.594,9,-12.651,0,0.0305,0.454,0.957,0.0562,0.821,162.653,4,Jazz
Death Grips,Ring A Bell,3Vtgng4bH7j2HSO8HObci9,48,146046,0.641,0.977,6,-4.487,0,0.124,0.0854,0.0,0.437,0.313,107.038,4,Electronic
Piero Piccioni,Easy Lovers,4u307txePIagFC4K67AdBA,62,225573,0.344,0.333,0,-13.945,0,0.0294,0.9,0.422,0.118,0.175,70.225,4,Folk
Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,89,319192,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,4,Hip-Hop
