id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
81577,Radiohead,Bullet Proof ... I Wish I Was,7wB2VenWR6rchtLwawreIg,49,208733,0.448,0.359,7,-13.559,1,0.0288,0.78,0.671,0.0753,0.0773,80.912,4.0,Alternative
81601,Radiohead,Spectre,6FhqMiFC6PPYXihpGTFNMC,47,199334,0.154,0.447,4,-8.797,0,0.0292,0.557,0.912,0.108,0.12,149.423,3.0,Alternative
81611,Radiohead,Go To Sleep,6TdGeb9e2KL6RZG0VxoTMd,48,201507,0.288,0.86,2,-6.311,0,0.0393,0.103,0.000399,0.102,0.66,161.194,4.0,Alternative
81665,Radiohead,The Numbers,6f6pEjgfTtuRROmJ4a7Gf3,49,345887,0.282,0.372,5,-9.771,1,0.0316,0.652,0.416,0.0754,0.0552,105.215,3.0,Alternative
81754,Radiohead,Bloom,6tLALP9mi7VbNC7s16iBRK,48,313671,0.518,0.959,0,-7.596,0,0.157,0.62,0.884,0.0831,0.341,149.722,4.0,Alternative
81826,Radiohead,In Limbo,1NgvIjkEjkhcIR1pp5Qsir,46,211000,0.375,0.634,0,-10.543,1,0.0317,0.674,0.828,0.135,0.502,89.752,4.0,Alternative
81846,Radiohead,Morning Bell,1HQYo8C5L0qd1p5f1anXPS,46,275800,0.645,0.462,2,-12.124,1,0.0319,0.719,0.291,0.34,0.391,142.137,5.0,Alternative
81867,The Strokes,Drag Queen,5OQyKF97zI9yt53Q4C4ejt,48,273483,0.554,0.546,2,-4.681,0,0.0444,0.0803,0.328,0.102,0.507,124.115,4.0,Alternative
85177,The Smiths,Panic - 2011 Remaster,64D3dzWyj0GpQT1AHx4kbK,62,140507,0.53,0.861,7,-4.67,1,0.0372,0.0175,0.0177,0.0857,0.844,130.476,4.0,Dance
85960,The Smiths,Girlfriend in a Coma - 2011 Remaster,01q4ccXbvPlCwZ1fPiFaeM,59,122760,0.68,0.626,7,-8.519,1,0.0255,0.126,1.3e-06,0.0995,0.96,104.333,4.0,Dance
86420,The Smiths,Ask - 2011 Remaster,2AdRSHeYmDGMrgIfiS2w7K,58,198147,0.453,0.986,7,-5.768,1,0.119,0.387,0.0,0.422,0.455,166.594,4.0,Dance
86664,The Smiths,There Is a Light That Never Goes Out - 2017 Master,3mkS1alZdcdBQuIMad8aee,58,242667,0.513,0.77,4,-5.131,1,0.0277,0.031,0.0,0.198,0.849,136.22,4.0,Dance
87366,The Smiths,This Night Has Opened My Eyes - 2011 Remastered Version,2Yf0HjCklkx54C4wQzhvzH,53,221533,0.696,0.628,2,-8.407,1,0.0274,0.00102,0.428,0.272,0.701,100.038,4.0,Dance
